"SUID","Betweenness unDir","Degree unDir","name","selected","shared name"
"112","459.144615300315","26.0","IL10","true","IL10"
"113","1063.4423576465642","27.0","IL6","true","IL6"
"81","185.97480820694685","12.0","PSMD1","true","PSMD1"
"178","174.94017644797879","16.0","IL13","true","IL13"
"210","237.48407382196882","12.0","ICAM1","true","ICAM1"
"84","541.9745037869594","19.0","TP53","true","TP53"
"148","264.7278972041117","17.0","IL2","true","IL2"
"150","448.84351009215754","21.0","IRF7","true","IRF7"
"122","157.95376366233825","20.0","IL1B","true","IL1B"
"154","341.52418291893673","17.0","MAPK8","true","MAPK8"
"92","235.78382526956335","16.0","TRAF3","true","TRAF3"
"126","793.5931297194836","30.0","TNF","true","TNF"
"158","241.95879574077554","15.0","TLR4","true","TLR4"
"129","720.2991600115308","20.0","STAT1","true","STAT1"
"162","838.9332702309354","21.0","AKT1","true","AKT1"
"131","166.3194094029716","18.0","IL4","true","IL4"
"133","195.10506885786737","17.0","CXCL8","true","CXCL8"
"165","174.71729730089123","12.0","RHOA","true","RHOA"
"231","350.0688743782086","12.0","SMAD3","true","SMAD3"
"201","782.3490776764437","23.0","MAPK1","true","MAPK1"
"297","1148.7093861017538","25.0","NFKB1","true","NFKB1"
"203","152.04286585907118","15.0","MAPK14","true","MAPK14"
"205","924.6877472605764","25.0","MAPK3","true","MAPK3"
