##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Immune System	Reactome	R-HSA-168256	106	2096	1.83869744403e-134	2.01521239866e-131	BCL2L1|PTGS2|LAT2|HSPA8|AKT1|IKBKE|EGF|MS4A1|STUB1|OAS1|IL8|MYC|SOD1|IFNG|CD27|CXCL10|HPSE|MAPK14|FCER2|KIT|TLR4|MAVS|TNF|IL7R|CCL3|CRP|CCL4|CCL5|HLA-C|HSP90B1|MX1|CD209|ITGB2|VIM|DDX58|ISG15|MYD88|PSMD1|TUBB4|RHOA|IRF3|IRF1|RPS6KA3|IRF7|STAT1|BTF3|CD14|RAB3D|CTSL1|ANPEP|CCL2|CD40LG|SMAD3|CD4|CCR5|CCR6|IL1A|IL1B|IFNB1|CD79A|TBK1|CD80|ARF1|CD86|MAPK3|MAPK1|ICAM3|ICAM1|CST3|MAPK8|IL17A|EGFR|CD68|LTF|NFKB1|TP53|IL18|CDA|IL10|IFNA2|IFNA1|IL13|GLB1|FGL2|IL6|IL4|IL5|IL2|PPIA|TGFB1|BIRC3|PSMD2|ADAM10|ADAM17|MBL2|IMPDH1|ACAA1|MBP|NOS2|TRAF3|CD44|CD46|IL28A|TLR9|CLEC4G|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	74	836	7.91128500605e-102	4.33538418331e-99	BCL2L1|TGFB1|MX1|CD40LG|CCL4|PTGS2|HLA-C|HSPA8|BIRC3|HSP90B1|PSMD2|CD4|AKT1|TRAF3|CCR5|ADAM17|IL1A|IL1B|KIT|EGF|DDX58|TBK1|CD80|ARF1|CCL5|IL28A|CD86|OAS1|MAPK3|MAPK1|ISG15|ICAM1|NFKB1|MYC|MYD88|PSMD1|NOS2|ITGB2|IL17A|SOD1|IFNG|CD44|IL7R|CD27|IRF7|TNF|CXCL10|CCL2|SMAD3|MAPK8|IL18|MAPK14|IRF1|RPS6KA3|TP53|STAT1|FCER2|IL10|IFNA2|IFNA1|IL13|IRF3|VIM|IL6|IFNB1|IL4|IL5|IL2|PPIA|CCL3|EGFR|TLR9|IL8|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Signaling by Interleukins	Reactome	R-HSA-449147	57	619	5.8157014156e-77	2.12466958383e-74	BCL2L1|TGFB1|CCL4|PTGS2|HSPA8|PSMD1|HSP90B1|PSMD2|CD4|AKT1|CCR5|IL1A|IL1B|KIT|EGF|TBK1|CD80|ARF1|CCL5|IL28A|CD86|MAPK3|MAPK1|ICAM1|NFKB1|MYC|MYD88|NOS2|ITGB2|IL17A|SOD1|IFNG|EGFR|IL7R|TNF|CXCL10|CCL2|SMAD3|MAPK8|IL18|MAPK14|RPS6KA3|TP53|STAT1|FCER2|IL10|IL13|VIM|IL6|IL4|IL5|IL2|PPIA|CCL3|TLR9|IL8|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	41	201	2.57440666593e-67	7.05387426463e-65	HLA-C|PSMD1|BAX|USP7|MAPK14|AKT1|IRF7|IKBKE|DDX58|TBK1|FAS|RB1|IFNB1|OAS1|ISG15|ICAM1|NFKB1|MYC|MYD88|TRAF3|CD44|CD40|TNF|CYCS|CXCL10|PSMD2|MAPK8|IRF3|TP53|STAT1|E2F1|FCER2|IFNA2|IFNA1|VIM|IL6|RUNX3|CDK2|CDK4|MAVS|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:3661%09red/hsa:3383%09red/hsa:596%09red/hsa:3627%09red/hsa:7431%09red/hsa:355%09red/hsa:23586%09red/hsa:958%09red/hsa:1017%09red/hsa:5925%09red/hsa:7124%09red/hsa:3456%09red/hsa:960%09red/hsa:864%09red/hsa:4938%09red/hsa:7874%09red/hsa:5707%09red/hsa:7187%09red/hsa:3439%09red/hsa:9636%09red/hsa:5708%09red/hsa:54205%09red/hsa:4615%09red/hsa:581%09red/hsa:5599%09red/hsa:57506%09red/hsa:4790%09red/hsa:3107%09red/hsa:207%09red/hsa:1432%09red/hsa:6772%09red/hsa:7157%09red/hsa:3440%09red/hsa:1019%09red/hsa:2208%09red/hsa:4609%09red/hsa:1869%09red/hsa:9641%09red
Innate Immune System	Reactome	R-HSA-168249	58	1043	2.27180487681e-66	4.97979628997e-64	BCL2L1|CRP|MAVS|LAT2|HLA-C|HSPA8|BIRC3|HSP90B1|PSMD2|CD4|CD209|TRAF3|CCR6|IKBKE|IL1B|IRF3|MS4A1|DDX58|TBK1|IMPDH1|IFNB1|MAPK3|ACAA1|MAPK1|ICAM3|CST3|MAPK8|MYD88|MBP|PSMD1|NOS2|ITGB2|CD44|CD46|CD68|RAB3D|LTF|ISG15|NFKB1|RHOA|HPSE|MAPK14|ADAM10|RPS6KA3|IRF7|CDA|IFNA2|IFNA1|GLB1|FGL2|CD14|CTSL1|ANPEP|TLR4|TLR9|MBL2|PPIA|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Influenza A	KEGG PATHWAY	hsa05164	37	167	9.21705758035e-62	1.68364918468e-59	CCL2|CCL5|BAX|MX1|AKT1|IKBKE|IL1A|IL1B|DDX58|STAT1|FAS|IFNB1|OAS1|MAPK3|MAPK1|ICAM1|NFKB1|MYD88|IRF3|PABPN1|TRAF3|IFNG|SLC25A4|TNF|PRKCA|CYCS|CXCL10|IL18|IRF7|TBK1|IFNA2|IFNA1|IL6|CDK4|TLR4|MAVS|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:3661%09red/hsa:3383%09red/hsa:3627%09red/hsa:5595%09red/hsa:1019%09red/hsa:355%09red/hsa:23586%09red/hsa:5578%09red/hsa:3458%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:3606%09red/hsa:6347%09red/hsa:4938%09red/hsa:4615%09red/hsa:7187%09red/hsa:3439%09red/hsa:3553%09red/hsa:3552%09red/hsa:8106%09red/hsa:54205%09red/hsa:3576%09red/hsa:4790%09red/hsa:581%09red/hsa:57506%09red/hsa:207%09red/hsa:6772%09red/hsa:4599%09red/hsa:5594%09red/hsa:3440%09red/hsa:291%09red/hsa:6352%09red/hsa:9641%09red
Measles	KEGG PATHWAY	hsa05162	34	138	4.71658176374e-58	7.38481944722e-56	BCL2L1|IL2|HSPA8|BAX|MX1|CD209|IKBKE|IL1A|IL1B|DDX58|STAT1|FAS|IFNB1|OAS1|NFKB1|MAPK8|MYD88|TRAF3|CD46|CYCS|IRF7|IRF3|TLR9|TP53|TBK1|AKT1|IFNA2|IFNA1|IL6|CDK2|CDK4|TLR4|MAVS|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:29110%09red/hsa:30835%09red/hsa:3665%09red/hsa:3661%09red/hsa:598%09red/hsa:596%09red/hsa:1019%09red/hsa:355%09red/hsa:23586%09red/hsa:4179%09red/hsa:1017%09red/hsa:7099%09red/hsa:3456%09red/hsa:3569%09red/hsa:3312%09red/hsa:4938%09red/hsa:4615%09red/hsa:3558%09red/hsa:7187%09red/hsa:3439%09red/hsa:54106%09red/hsa:3553%09red/hsa:3552%09red/hsa:54205%09red/hsa:581%09red/hsa:5599%09red/hsa:57506%09red/hsa:4790%09red/hsa:207%09red/hsa:6772%09red/hsa:4599%09red/hsa:7157%09red/hsa:3440%09red/hsa:9641%09red
Hepatitis B	KEGG PATHWAY	hsa05161	34	163	7.35706486878e-56	1.00791788702e-53	TGFB1|BAX|SMAD3|MAPK14|AKT1|IKBKE|DDX58|STAT1|FAS|RB1|IFNB1|MAPK3|MAPK1|NFKB1|MYC|MYD88|TRAF3|PRKCA|TNF|CYCS|IRF7|MAPK8|IRF3|TP53|TBK1|E2F1|IFNA2|IFNA1|IL6|CDK2|TLR4|MAVS|IL8|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:3661%09red/hsa:596%09red/hsa:355%09red/hsa:23586%09red/hsa:1017%09red/hsa:5578%09red/hsa:5925%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:4615%09red/hsa:7187%09red/hsa:3439%09red/hsa:5595%09red/hsa:5594%09red/hsa:4088%09red/hsa:54205%09red/hsa:3576%09red/hsa:5599%09red/hsa:581%09red/hsa:57506%09red/hsa:4790%09red/hsa:207%09red/hsa:1432%09red/hsa:6772%09red/hsa:7157%09red/hsa:3440%09red/hsa:7040%09red/hsa:4609%09red/hsa:1869%09red/hsa:9641%09red
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	30	104	5.94732530756e-53	7.24252059676e-51	CCL3|CCL4|CCL5|MAPK14|AKT1|IKBKE|IL1B|CD86|STAT1|CD80|IFNB1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|TRAF3|CD40|TNF|CXCL10|IRF3|IRF7|TBK1|IFNA2|IFNA1|IL6|CD14|TLR4|TLR9|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:3661%09red/hsa:3627%09red/hsa:5595%09red/hsa:929%09red/hsa:941%09red/hsa:942%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:4615%09red/hsa:958%09red/hsa:7187%09red/hsa:6348%09red/hsa:54106%09red/hsa:3553%09red/hsa:5594%09red/hsa:3576%09red/hsa:5599%09red/hsa:4790%09red/hsa:207%09red/hsa:1432%09red/hsa:6772%09red/hsa:3440%09red/hsa:6351%09red/hsa:6352%09red/hsa:3439%09red/hsa:9641%09red
Hepatitis C	KEGG PATHWAY	hsa05160	31	155	2.3212829674e-50	2.54412613227e-48	IKBKE|EGFR|BAX|MX1|AKT1|CXCL10|EGF|DDX58|STAT1|FAS|RB1|IFNB1|OAS1|MAPK3|MAPK1|NFKB1|MYC|TRAF3|IFNG|TNF|CYCS|IRF7|IRF3|TP53|TBK1|E2F1|IFNA2|IFNA1|CDK2|CDK4|MAVS	http://www.genome.jp/kegg-bin/show_pathway?hsa05160/hsa:29110%09red/hsa:3665%09red/hsa:3661%09red/hsa:3627%09red/hsa:1019%09red/hsa:355%09red/hsa:23586%09red/hsa:1017%09red/hsa:5925%09red/hsa:3458%09red/hsa:7124%09red/hsa:3456%09red/hsa:4938%09red/hsa:1950%09red/hsa:1956%09red/hsa:7187%09red/hsa:3439%09red/hsa:5595%09red/hsa:5594%09red/hsa:54205%09red/hsa:581%09red/hsa:4790%09red/hsa:57506%09red/hsa:207%09red/hsa:6772%09red/hsa:4599%09red/hsa:7157%09red/hsa:3440%09red/hsa:4609%09red/hsa:1869%09red/hsa:9641%09red
