




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (278)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to organic substance (GO:0010033)	3030	150	40.12	+	3.74	1.93E-52	3.07E-48
response to cytokine (GO:0034097)	1122	97	14.86	+	6.53	2.95E-50	2.35E-46
immune system process (GO:0002376)	2805	141	37.14	+	3.80	3.79E-49	2.01E-45
cellular response to cytokine stimulus (GO:0071345)	1031	92	13.65	+	6.74	1.76E-48	6.99E-45
cytokine-mediated signaling pathway (GO:0019221)	695	79	9.20	+	8.58	3.24E-48	1.03E-44
cellular response to chemical stimulus (GO:0070887)	2941	139	38.94	+	3.57	3.35E-45	8.90E-42
cellular response to organic substance (GO:0071310)	2404	126	31.83	+	3.96	1.53E-44	3.49E-41
response to chemical (GO:0042221)	4498	168	59.56	+	2.82	3.97E-44	7.91E-41
immune response (GO:0006955)	1868	110	24.73	+	4.45	2.14E-42	3.79E-39
response to external stimulus (GO:0009605)	2455	124	32.51	+	3.81	4.73E-42	7.53E-39
regulation of immune system process (GO:0002682)	1677	104	22.20	+	4.68	1.16E-41	1.68E-38
response to other organism (GO:0051707)	1331	94	17.62	+	5.33	1.47E-41	1.95E-38
response to biotic stimulus (GO:0009607)	1365	95	18.07	+	5.26	1.51E-41	1.85E-38
response to external biotic stimulus (GO:0043207)	1333	94	17.65	+	5.33	1.65E-41	1.88E-38
response to stress (GO:0006950)	3621	148	47.94	+	3.09	1.83E-41	1.94E-38
regulation of response to stimulus (GO:0048583)	4335	161	57.40	+	2.80	3.59E-41	3.57E-38
response to stimulus (GO:0050896)	8549	223	113.19	+	1.97	1.24E-40	1.16E-37
positive regulation of immune system process (GO:0002684)	1156	87	15.31	+	5.68	3.61E-40	3.20E-37
positive regulation of response to stimulus (GO:0048584)	2476	121	32.78	+	3.69	2.05E-39	1.71E-36
cell surface receptor signaling pathway (GO:0007166)	2486	120	32.92	+	3.65	1.67E-38	1.33E-35
multi-organism process (GO:0051704)	2844	127	37.66	+	3.37	7.88E-38	5.97E-35
regulation of multicellular organismal process (GO:0051239)	3185	134	42.17	+	3.18	1.03E-37	7.46E-35
regulation of cytokine production (GO:0001817)	723	68	9.57	+	7.10	2.11E-36	1.46E-33
defense response (GO:0006952)	1352	88	17.90	+	4.92	4.62E-36	3.07E-33
regulation of response to external stimulus (GO:0032101)	1096	80	14.51	+	5.51	8.51E-36	5.42E-33
positive regulation of biological process (GO:0048518)	6263	185	82.93	+	2.23	8.59E-36	5.26E-33
signal transduction (GO:0007165)	5139	167	68.04	+	2.45	8.79E-36	5.18E-33
regulation of biological quality (GO:0065008)	4112	148	54.45	+	2.72	4.84E-35	2.75E-32
cellular response to stimulus (GO:0051716)	6793	191	89.94	+	2.12	1.08E-34	5.91E-32
cell communication (GO:0007154)	5583	172	73.92	+	2.33	2.64E-34	1.40E-31
signaling (GO:0023052)	5478	170	72.53	+	2.34	5.39E-34	2.77E-31
response to molecule of bacterial origin (GO:0002237)	341	49	4.52	+	10.85	9.73E-34	4.84E-31
response to lipopolysaccharide (GO:0032496)	325	48	4.30	+	11.15	1.54E-33	7.42E-31
regulation of response to stress (GO:0080134)	1517	89	20.09	+	4.43	3.10E-33	1.45E-30
positive regulation of macromolecule metabolic process (GO:0010604)	3402	131	45.04	+	2.91	1.00E-32	4.57E-30
response to bacterium (GO:0009617)	705	63	9.33	+	6.75	1.89E-32	8.37E-30
inflammatory response (GO:0006954)	502	55	6.65	+	8.27	2.33E-32	1.00E-29
positive regulation of metabolic process (GO:0009893)	3701	136	49.00	+	2.78	3.19E-32	1.34E-29
positive regulation of multicellular organismal process (GO:0051240)	1771	94	23.45	+	4.01	5.05E-32	2.06E-29
cell activation (GO:0001775)	1062	74	14.06	+	5.26	1.04E-31	4.15E-29
positive regulation of cytokine production (GO:0001819)	458	52	6.06	+	8.57	2.91E-31	1.13E-28
positive regulation of nitrogen compound metabolic process (GO:0051173)	3226	125	42.71	+	2.93	4.25E-31	1.61E-28
positive regulation of response to external stimulus (GO:0032103)	593	57	7.85	+	7.26	8.30E-31	3.07E-28
positive regulation of cellular process (GO:0048522)	5527	165	73.18	+	2.25	1.59E-30	5.74E-28
immune effector process (GO:0002252)	1080	73	14.30	+	5.10	1.83E-30	6.48E-28
regulation of protein metabolic process (GO:0051246)	2836	116	37.55	+	3.09	1.97E-30	6.83E-28
positive regulation of cellular metabolic process (GO:0031325)	3391	127	44.90	+	2.83	2.68E-30	9.10E-28
positive regulation of protein metabolic process (GO:0051247)	1728	90	22.88	+	3.93	6.37E-30	2.11E-27
positive regulation of cell communication (GO:0010647)	1855	93	24.56	+	3.79	8.08E-30	2.63E-27
positive regulation of signaling (GO:0023056)	1864	93	24.68	+	3.77	1.15E-29	3.67E-27
positive regulation of signal transduction (GO:0009967)	1704	89	22.56	+	3.94	1.22E-29	3.81E-27
regulation of signaling (GO:0023051)	3575	129	47.34	+	2.73	2.48E-29	7.59E-27
regulation of cell communication (GO:0010646)	3534	128	46.79	+	2.74	3.37E-29	1.01E-26
positive regulation of cellular protein metabolic process (GO:0032270)	1619	86	21.44	+	4.01	4.86E-29	1.43E-26
regulation of signal transduction (GO:0009966)	3146	120	41.65	+	2.88	6.07E-29	1.76E-26
leukocyte activation (GO:0045321)	915	66	12.12	+	5.45	6.18E-29	1.76E-26
negative regulation of biological process (GO:0048519)	5388	160	71.34	+	2.24	8.17E-29	2.28E-26
cellular response to biotic stimulus (GO:0071216)	226	38	2.99	+	12.70	1.88E-28	5.16E-26
cellular response to lipopolysaccharide (GO:0071222)	193	36	2.56	+	14.09	2.24E-28	6.05E-26
regulation of cell death (GO:0010941)	1698	87	22.48	+	3.87	2.46E-28	6.54E-26
regulation of cellular protein metabolic process (GO:0032268)	2664	109	35.27	+	3.09	2.94E-28	7.66E-26
positive regulation of protein phosphorylation (GO:0001934)	1014	68	13.43	+	5.06	4.37E-28	1.12E-25
cellular response to molecule of bacterial origin (GO:0071219)	202	36	2.67	+	13.46	9.12E-28	2.30E-25
response to lipid (GO:0033993)	867	63	11.48	+	5.49	9.67E-28	2.41E-25
regulation of immune response (GO:0050776)	1140	71	15.09	+	4.70	1.55E-27	3.80E-25
regulation of protein modification process (GO:0031399)	1872	90	24.79	+	3.63	1.80E-27	4.35E-25
positive regulation of phosphorus metabolic process (GO:0010562)	1161	71	15.37	+	4.62	4.40E-27	1.05E-24
positive regulation of phosphate metabolic process (GO:0045937)	1161	71	15.37	+	4.62	4.40E-27	1.03E-24
regulation of protein phosphorylation (GO:0001932)	1455	79	19.27	+	4.10	4.49E-27	1.04E-24
positive regulation of protein modification process (GO:0031401)	1242	73	16.44	+	4.44	7.02E-27	1.60E-24
positive regulation of phosphorylation (GO:0042327)	1090	68	14.43	+	4.71	2.33E-26	5.23E-24
regulation of defense response (GO:0031347)	768	58	10.17	+	5.70	2.75E-26	6.09E-24
response to oxygen-containing compound (GO:1901700)	1602	81	21.21	+	3.82	7.59E-26	1.65E-23
regulation of cell population proliferation (GO:0042127)	1644	82	21.77	+	3.77	8.15E-26	1.75E-23
regulation of localization (GO:0032879)	2810	108	37.21	+	2.90	9.45E-26	2.01E-23
regulation of programmed cell death (GO:0043067)	1573	80	20.83	+	3.84	1.17E-25	2.44E-23
regulation of phosphate metabolic process (GO:0019220)	1820	86	24.10	+	3.57	1.26E-25	2.60E-23
regulation of phosphorus metabolic process (GO:0051174)	1821	86	24.11	+	3.57	1.30E-25	2.66E-23
positive regulation of transport (GO:0051050)	1011	64	13.39	+	4.78	4.45E-25	8.97E-23
regulation of apoptotic process (GO:0042981)	1553	78	20.56	+	3.79	1.22E-24	2.42E-22
positive regulation of intracellular signal transduction (GO:1902533)	1034	64	13.69	+	4.67	1.41E-24	2.78E-22
regulation of transport (GO:0051049)	1890	86	25.02	+	3.44	1.51E-24	2.93E-22
positive regulation of immune response (GO:0050778)	844	58	11.18	+	5.19	2.42E-24	4.64E-22
negative regulation of cellular process (GO:0048523)	4805	142	63.62	+	2.23	3.78E-24	7.17E-22
regulation of phosphorylation (GO:0042325)	1626	79	21.53	+	3.67	4.22E-24	7.91E-22
regulation of multi-organism process (GO:0043900)	775	55	10.26	+	5.36	1.08E-23	2.00E-21
intracellular signal transduction (GO:0035556)	1700	80	22.51	+	3.55	1.40E-23	2.57E-21
