Ensembl Gene ID	Ensembl Transcript ID	MEDLINE: PubMed ID	Associated Gene Name
ENSG00000143761	ENST00000272102	19669794	ARF1
ENSG00000143761	ENST00000477821	19669794	ARF1
ENSG00000143761	ENST00000470670	19669794	ARF1
ENSG00000143761	ENST00000478424	19669794	ARF1
ENSG00000143761	ENST00000473949	19669794	ARF1
ENSG00000143761	ENST00000470558	19669794	ARF1
ENSG00000143761	ENST00000478336	19669794	ARF1
ENSG00000143761	ENST00000477451	19669794	ARF1
ENSG00000143761	ENST00000482962	19669794	ARF1
ENSG00000143761	ENST00000469235	19669794	ARF1
ENSG00000143761	ENST00000497165	19669794	ARF1
ENSG00000143761	ENST00000490705	19669794	ARF1
ENSG00000143761	ENST00000473546	19669794	ARF1
ENSG00000143761	ENST00000327482	19669794	ARF1
ENSG00000143761	ENST00000417949	19669794	ARF1
ENSG00000143761	ENST00000391868	19669794	ARF1
ENSG00000174059	ENST00000310833	16224511	CD34
ENSG00000174059	ENST00000310833	17923501	CD34
ENSG00000174059	ENST00000356522	16224511	CD34
ENSG00000174059	ENST00000356522	17923501	CD34
ENSG00000174059	ENST00000367036	16224511	CD34
ENSG00000174059	ENST00000367036	17923501	CD34
ENSG00000174059	ENST00000485761	16224511	CD34
ENSG00000174059	ENST00000485761	17923501	CD34
ENSG00000174059	ENST00000367037	16224511	CD34
ENSG00000174059	ENST00000367037	17923501	CD34
ENSG00000117335	ENST00000358170	17278385	CD46
ENSG00000117335	ENST00000354848	17278385	CD46
ENSG00000117335	ENST00000322918	17278385	CD46
ENSG00000117335	ENST00000367042	17278385	CD46
ENSG00000117335	ENST00000367041	17278385	CD46
ENSG00000117335	ENST00000357714	17278385	CD46
ENSG00000117335	ENST00000488596	17278385	CD46
ENSG00000117335	ENST00000322875	17278385	CD46
ENSG00000117335	ENST00000367047	17278385	CD46
ENSG00000117335	ENST00000469535	17278385	CD46
ENSG00000117335	ENST00000462968	17278385	CD46
ENSG00000117335	ENST00000360212	17278385	CD46
ENSG00000117335	ENST00000480003	17278385	CD46
ENSG00000117335	ENST00000493796	17278385	CD46
ENSG00000117335	ENST00000464082	17278385	CD46
ENSG00000117335	ENST00000496723	17278385	CD46
ENSG00000117335	ENST00000490278	17278385	CD46
ENSG00000117335	ENST00000471987	17278385	CD46
ENSG00000117335	ENST00000441839	17278385	CD46
ENSG00000117335	ENST00000361067	17278385	CD46
ENSG00000117335	ENST00000391917	17278385	CD46
ENSG00000117335	ENST00000391915	17278385	CD46
ENSG00000117335	ENST00000391914	17278385	CD46
ENSG00000117335	ENST00000444231	17278385	CD46
ENSG00000117335	ENST00000391913	17278385	CD46
ENSG00000117335	ENST00000391912	17278385	CD46
ENSG00000117335	ENST00000412209	17278385	CD46
ENSG00000136634	ENST00000367099	18628832	IL10
ENSG00000136634	ENST00000367099	15271897	IL10
ENSG00000136634	ENST00000367099	14702488	IL10
ENSG00000136634	ENST00000367099	16219167	IL10
ENSG00000136634	ENST00000367099	15030519	IL10
ENSG00000136634	ENST00000367099	15784184	IL10
ENSG00000136634	ENST00000367099	15187168	IL10
ENSG00000136634	ENST00000367099	15865221	IL10
ENSG00000136634	ENST00000423557	18628832	IL10
ENSG00000136634	ENST00000423557	15271897	IL10
ENSG00000136634	ENST00000423557	14702488	IL10
ENSG00000136634	ENST00000423557	16219167	IL10
ENSG00000136634	ENST00000423557	15030519	IL10
ENSG00000136634	ENST00000423557	15784184	IL10
ENSG00000136634	ENST00000423557	15187168	IL10
ENSG00000136634	ENST00000423557	15865221	IL10
ENSG00000136634	ENST00000471071	18628832	IL10
ENSG00000136634	ENST00000471071	15271897	IL10
ENSG00000136634	ENST00000471071	14702488	IL10
ENSG00000136634	ENST00000471071	16219167	IL10
ENSG00000136634	ENST00000471071	15030519	IL10
ENSG00000136634	ENST00000471071	15784184	IL10
ENSG00000136634	ENST00000471071	15187168	IL10
ENSG00000136634	ENST00000471071	15865221	IL10
ENSG00000143466	ENST00000367120	19380580	IKBKE
ENSG00000143466	ENST00000462698	19380580	IKBKE
ENSG00000143466	ENST00000463979	19380580	IKBKE
ENSG00000143466	ENST00000476449	19380580	IKBKE
ENSG00000143466	ENST00000477884	19380580	IKBKE
ENSG00000143466	ENST00000492570	19380580	IKBKE
ENSG00000143839	ENST00000272190	15549171	REN
ENSG00000143839	ENST00000272190	16054014	REN
ENSG00000143839	ENST00000272190	17464936	REN
ENSG00000143839	ENST00000272190	18070603	REN
ENSG00000143839	ENST00000272190	16581295	REN
ENSG00000143839	ENST00000272190	17504232	REN
ENSG00000143839	ENST00000272190	16001071	REN
ENSG00000143839	ENST00000367195	15549171	REN
ENSG00000143839	ENST00000367195	16054014	REN
ENSG00000143839	ENST00000367195	17464936	REN
ENSG00000143839	ENST00000367195	18070603	REN
ENSG00000143839	ENST00000367195	16581295	REN
ENSG00000143839	ENST00000367195	17504232	REN
ENSG00000143839	ENST00000367195	16001071	REN
ENSG00000073756	ENST00000367468	16546436	PTGS2
ENSG00000073756	ENST00000367468	17267381	PTGS2
ENSG00000073756	ENST00000367468	16991002	PTGS2
ENSG00000073756	ENST00000490885	16546436	PTGS2
ENSG00000073756	ENST00000490885	17267381	PTGS2
ENSG00000073756	ENST00000490885	16991002	PTGS2
ENSG00000073756	ENST00000466691	16546436	PTGS2
ENSG00000073756	ENST00000466691	17267381	PTGS2
ENSG00000073756	ENST00000466691	16991002	PTGS2
ENSG00000073756	ENST00000430919	16546436	PTGS2
ENSG00000073756	ENST00000430919	17267381	PTGS2
ENSG00000073756	ENST00000430919	16991002	PTGS2
ENSG00000173692	ENST00000308696	17161858	PSMD1
ENSG00000173692	ENST00000431051	17161858	PSMD1
ENSG00000173692	ENST00000409643	17161858	PSMD1
ENSG00000173692	ENST00000440838	17161858	PSMD1
ENSG00000173692	ENST00000444007	17161858	PSMD1
ENSG00000173692	ENST00000488354	17161858	PSMD1
ENSG00000173692	ENST00000491229	17161858	PSMD1
ENSG00000173692	ENST00000447633	17161858	PSMD1
ENSG00000173692	ENST00000467792	17161858	PSMD1
ENSG00000173692	ENST00000477120	17161858	PSMD1
ENSG00000173692	ENST00000481003	17161858	PSMD1
ENSG00000173692	ENST00000373635	17161858	PSMD1
ENSG00000174175	ENST00000367790	16501078	SELP
ENSG00000174175	ENST00000426706	16501078	SELP
ENSG00000174175	ENST00000367795	16501078	SELP
ENSG00000174175	ENST00000367789	16501078	SELP
ENSG00000174175	ENST00000367786	16501078	SELP
ENSG00000174175	ENST00000367788	16501078	SELP
ENSG00000174175	ENST00000458599	16501078	SELP
ENSG00000174175	ENST00000446728	16501078	SELP
ENSG00000174175	ENST00000466167	16501078	SELP
ENSG00000174175	ENST00000263686	16501078	SELP
ENSG00000174175	ENST00000367794	16501078	SELP
ENSG00000174175	ENST00000367793	16501078	SELP
ENSG00000174175	ENST00000367792	16501078	SELP
ENSG00000174175	ENST00000367791	16501078	SELP
ENSG00000143167	ENST00000367868	18186801	GPA33
ENSG00000118217	ENST00000367942	19304306	ATF6
ENSG00000118217	ENST00000476437	19304306	ATF6
ENSG00000115657	ENST00000265316	19581895	ABCB6
ENSG00000115657	ENST00000417678	19581895	ABCB6
ENSG00000115657	ENST00000295750	19581895	ABCB6
ENSG00000115657	ENST00000497882	19581895	ABCB6
ENSG00000115657	ENST00000452545	19581895	ABCB6
ENSG00000115657	ENST00000492953	19581895	ABCB6
ENSG00000115657	ENST00000496984	19581895	ABCB6
ENSG00000115657	ENST00000494639	19581895	ABCB6
ENSG00000115657	ENST00000492543	19581895	ABCB6
ENSG00000115657	ENST00000443805	19581895	ABCB6
ENSG00000115657	ENST00000485773	19581895	ABCB6
ENSG00000115657	ENST00000487380	19581895	ABCB6
ENSG00000115657	ENST00000448398	19581895	ABCB6
ENSG00000115657	ENST00000439002	19581895	ABCB6
ENSG00000115657	ENST00000427013	19581895	ABCB6
