Ensembl Gene ID	Ensembl Transcript ID	MEDLINE: PubMed ID	Associated Gene Name
ENSG00000183048	ENST00000331531	11773459	SLC25A10
ENSG00000183048	ENST00000350690	11773459	SLC25A10
ENSG00000010404	ENST00000370441	1579394	IDS
ENSG00000010404	ENST00000466323	1579394	IDS
ENSG00000010404	ENST00000428056	1579394	IDS
ENSG00000010404	ENST00000340855	1579394	IDS
ENSG00000010404	ENST00000464251	1579394	IDS
ENSG00000010404	ENST00000490775	1579394	IDS
ENSG00000010404	ENST00000466019	1579394	IDS
ENSG00000010404	ENST00000370443	1579394	IDS
ENSG00000105835	ENST00000491027	15579727	PBEF1
ENSG00000105835	ENST00000222553	15579727	PBEF1
ENSG00000105835	ENST00000354289	15579727	PBEF1
ENSG00000105835	ENST00000424768	15579727	PBEF1
ENSG00000105835	ENST00000417537	15579727	PBEF1
ENSG00000105835	ENST00000484527	15579727	PBEF1
ENSG00000105835	ENST00000489732	15579727	PBEF1
ENSG00000105835	ENST00000486949	15579727	PBEF1
ENSG00000105835	ENST00000467730	15579727	PBEF1
ENSG00000105835	ENST00000463871	15579727	PBEF1
ENSG00000105835	ENST00000489358	15579727	PBEF1
ENSG00000105835	ENST00000393618	15579727	PBEF1
ENSG00000105835	ENST00000441045	15579727	PBEF1
ENSG00000105835	ENST00000393617	15579727	PBEF1
ENSG00000136244	ENST00000448794	15696447	IL6
ENSG00000136244	ENST00000420258	15696447	IL6
ENSG00000136244	ENST00000258743	15696447	IL6
ENSG00000136244	ENST00000485300	15696447	IL6
ENSG00000136244	ENST00000464710	15696447	IL6
ENSG00000136244	ENST00000406575	15696447	IL6
ENSG00000136244	ENST00000401630	15696447	IL6
ENSG00000136244	ENST00000407492	15696447	IL6
ENSG00000136244	ENST00000401651	15696447	IL6
ENSG00000136244	ENST00000426291	15696447	IL6
ENSG00000136244	ENST00000404625	15696447	IL6
ENSG00000232810	ENST00000431958	15696447	TNF
ENSG00000232810	ENST00000449264	15696447	TNF
ENSG00000169429	ENST00000483500	15696447	IL8
ENSG00000169429	ENST00000401931	15696447	IL8
ENSG00000169429	ENST00000307407	15696447	IL8
ENSG00000206439	ENST00000443290	15696447	TNF
ENSG00000206439	ENST00000383496	15696447	TNF
ENSG00000228849	ENST00000428712	15696447	TNF
ENSG00000228849	ENST00000420425	15696447	TNF
ENSG00000204490	ENST00000376122	15696447	TNF
ENSG00000223952	ENST00000417900	15696447	TNF
ENSG00000223952	ENST00000448781	15696447	TNF
ENSG00000230108	ENST00000449865	15696447	TNF
ENSG00000230108	ENST00000443707	15696447	TNF
ENSG00000228321	ENST00000451263	15696447	TNF
ENSG00000228321	ENST00000412275	15696447	TNF
