Ensembl Gene ID	Ensembl Transcript ID	MEDLINE: PubMed ID	Associated Gene Name
ENSG00000174059	ENST00000310833	14650146	CD34
ENSG00000174059	ENST00000310833	16224511	CD34
ENSG00000174059	ENST00000310833	17923501	CD34
ENSG00000174059	ENST00000356522	14650146	CD34
ENSG00000174059	ENST00000356522	16224511	CD34
ENSG00000174059	ENST00000356522	17923501	CD34
ENSG00000174059	ENST00000367036	14650146	CD34
ENSG00000174059	ENST00000367036	16224511	CD34
ENSG00000174059	ENST00000367036	17923501	CD34
ENSG00000174059	ENST00000485761	14650146	CD34
ENSG00000174059	ENST00000485761	16224511	CD34
ENSG00000174059	ENST00000485761	17923501	CD34
ENSG00000174059	ENST00000367037	14650146	CD34
ENSG00000174059	ENST00000367037	16224511	CD34
ENSG00000174059	ENST00000367037	17923501	CD34
ENSG00000117335	ENST00000358170	17278385	CD46
ENSG00000117335	ENST00000354848	17278385	CD46
ENSG00000117335	ENST00000322918	17278385	CD46
ENSG00000117335	ENST00000367042	17278385	CD46
ENSG00000117335	ENST00000367041	17278385	CD46
ENSG00000117335	ENST00000357714	17278385	CD46
ENSG00000117335	ENST00000488596	17278385	CD46
ENSG00000117335	ENST00000322875	17278385	CD46
ENSG00000117335	ENST00000367047	17278385	CD46
ENSG00000117335	ENST00000469535	17278385	CD46
ENSG00000117335	ENST00000462968	17278385	CD46
ENSG00000117335	ENST00000360212	17278385	CD46
ENSG00000117335	ENST00000480003	17278385	CD46
ENSG00000117335	ENST00000493796	17278385	CD46
ENSG00000117335	ENST00000464082	17278385	CD46
ENSG00000117335	ENST00000496723	17278385	CD46
ENSG00000117335	ENST00000490278	17278385	CD46
ENSG00000117335	ENST00000471987	17278385	CD46
ENSG00000117335	ENST00000441839	17278385	CD46
ENSG00000117335	ENST00000361067	17278385	CD46
ENSG00000117335	ENST00000391917	17278385	CD46
ENSG00000117335	ENST00000391915	17278385	CD46
ENSG00000117335	ENST00000391914	17278385	CD46
ENSG00000117335	ENST00000444231	17278385	CD46
ENSG00000117335	ENST00000391913	17278385	CD46
ENSG00000117335	ENST00000391912	17278385	CD46
ENSG00000117335	ENST00000412209	17278385	CD46
ENSG00000203710	ENST00000367052	15606620	CR1
ENSG00000203710	ENST00000367051	15606620	CR1
ENSG00000203710	ENST00000367053	15606620	CR1
ENSG00000203710	ENST00000434033	15606620	CR1
ENSG00000203710	ENST00000450439	15606620	CR1
ENSG00000203710	ENST00000436595	15606620	CR1
ENSG00000203710	ENST00000400960	15606620	CR1
ENSG00000203710	ENST00000367049	15606620	CR1
ENSG00000203710	ENST00000400961	15606620	CR1
ENSG00000203710	ENST00000367050	15606620	CR1
ENSG00000136634	ENST00000367099	18564432	IL10
ENSG00000136634	ENST00000367099	18242340	IL10
ENSG00000136634	ENST00000367099	14769149	IL10
ENSG00000136634	ENST00000367099	15271897	IL10
ENSG00000136634	ENST00000367099	15008980	IL10
ENSG00000136634	ENST00000367099	17621257	IL10
ENSG00000136634	ENST00000367099	14702488	IL10
ENSG00000136634	ENST00000367099	16672072	IL10
ENSG00000136634	ENST00000367099	16219167	IL10
ENSG00000136634	ENST00000367099	15897799	IL10
ENSG00000136634	ENST00000367099	14743496	IL10
ENSG00000136634	ENST00000367099	16111089	IL10
ENSG00000136634	ENST00000367099	15030519	IL10
ENSG00000136634	ENST00000367099	19357034	IL10
ENSG00000136634	ENST00000367099	15784184	IL10
ENSG00000136634	ENST00000367099	15187168	IL10
ENSG00000136634	ENST00000367099	15865221	IL10
ENSG00000136634	ENST00000367099	18354287	IL10
ENSG00000136634	ENST00000367099	17052299	IL10
ENSG00000136634	ENST00000423557	18564432	IL10
ENSG00000136634	ENST00000423557	18242340	IL10
ENSG00000136634	ENST00000423557	14769149	IL10
ENSG00000136634	ENST00000423557	15271897	IL10
ENSG00000136634	ENST00000423557	15008980	IL10
